vendor_id,spot_id,spot_name,business_name,business_category,latitude,longitude,address_locality,contact_phone_or_helpline,verification_status,available_offers_discounts,specialties_or_services,data_source
VN001,TS001,Kedarnath Temple,GMVN Kedarnath Swargarohini Complex,Government Pilgrimage Homestay / Dormitory,30.7339,79.0658,"Near Kedarnath Temple Base, Kedarnath",+91-135-2431793,Verified by Garhwal Mandal Vikas Nigam (GMVN) / State Tourism,15% off for senior citizen pilgrim offline registrations during shoulder season,"Insulated heated bunk cottages, hot water thermos, medical oxygen cylinder support on demand",GMVN Uttarakhand Official Accommodation Portal
VN002,TS001,Kedarnath Temple,Himalayan Highs Certified Mountain Guides & Porter Union,Certified Trekking Guides & Mules Syndicate,30.6508,79.0289,Gaurikund Main Yatra Basecamp,+91-94120-11223,Registered with Rudraprayag District Administration & UTDB,Government fixed rate card with digital pre-paid receipt at Gaurikund counter,"Government-certified mountain rescue trained guides, RFID tagged mules and porter verification",District Administration Rudraprayag Mules & Porter Registry
VN003,TS001,Kedarnath Temple,Mandakini Annapurna Pure Veg Bhojanalaya,Traditional Eatery / Pilgrim Bhojanalaya,30.7325,79.0662,"Temple Path, Kedarnath",+91-98970-44556,FSSAI Registered (Lic No: 22621034000189),Free herbal ginger-tulsi tea with morning nutritious dalia breakfast,"Pure satvik Garhwali thali, hot steaming pahadi rajma-rice, jhangore ki kheer",FSSAI Food Safety Compliance System (FoSCoS)
VN004,TS002,Badrinath Temple,Badresh Homestay & Alpine Lodge,State Registered Homestay,30.7441,79.4925,"Near Tapt Kund Road, Badrinath",+91-1372-222111,Verified by Uttarakhand Tourism Deendayal Upadhyay Homestay Scheme,10% discount on advance online booking via UTDB portal,"Traditional wooden architecture, direct view of Neelkanth peak, hot spring bathing access",Uttarakhand Tourism Homestay Directory
VN005,TS002,Badrinath Temple,Mana Mahila Bhotia Woolen Handloom Cooperative,Local Handicrafts & Woolens,30.7715,79.496,"First Village Mana, Badrinath",+91-94581-88990,Ministry of Textiles Handloom Mark & TRIFED Certified,Direct artisan pricing with complimentary herbal Badri tulsi pouch,"Hand-spun pure sheep wool pashmina shawls, knitted socks, organic Himalayan herbs",TRIFED Ministry of Tribal Affairs & NABARD Artisan SHG
VN006,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Ganga Heritage Riverfront Homestay,Heritage Homestay / Bed & Breakfast,25.3085,83.0092,"Manmandir Ghat, Varanasi",+91-542-2400122,Verified by UP Tourism Board (Registration No: UPT-VAR-2023-412),Complimentary sunrise boat tour for 3-night residential stays,"200-year-old stone haveli, rooftop Ganga Aarti panorama, customized classical music baithaks",Uttar Pradesh Tourism Registered Bed & Breakfast List
VN007,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Kashi Heritage Approved Guides Association,Ministry of Tourism Certified Tour Guides,25.3115,83.0102,"Gate 4, Shri Kashi Vishwanath Corridor, Varanasi",+91-94152-33445,Ministry of Tourism (Incredible India) Regional Level Guide Certified,Standardized rates fixed by Varanasi DTPC; group student discounts available,"Multi-lingual architectural and spiritual heritage walkthroughs (English, French, Hindi, Tamil)",Ministry of Tourism Approved Tourist Guide Directory
VN008,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Kashi Weavers Silk Cooperative Society,GI-Tagged Banarasi Silk & Brocades,25.3142,83.0078,"Chowk, Varanasi",+91-542-2277889,Geographical Indication (GI) Authorized User & UP Handloom Registered,Authenticity QR-code verification on each pure katan silk saree,"Master weaver hand-loomed gold and silver zari Banarasi sarees, stoles, silk scarves",GI Registry of India & UP State Handloom Corporation
VN009,TS004,Shri Ram Janmabhoomi Mandir,Saryu Teerth Atithi Niwas,Registered Pilgrim Dharamshala & Homestay,26.7972,82.1965,"Ramghat, Ayodhya",+91-5278-232110,Verified by Ayodhya Municipal Corporation & UP Tourism,"Subsidized clean rooms for family yatris, free luggage storage lockers","Clean vegetarian canteen, wheelchair accessibility, walking distance to Ram Janmabhoomi Path",Ayodhya Municipal Corporation Commercial Accommodations Register
VN010,TS004,Shri Ram Janmabhoomi Mandir,Hanumangarhi Traditional Pure Ghee Laddu Trust,Traditional Prasad & Sweet Shop,26.7938,82.1989,"Hanumangarhi Chauraha, Ayodhya",+91-94500-66778,FSSAI Certified (Lic No: 12722005000311),Tamper-evident sealed travel gift boxes with dry prasad pack,"Famous desi ghee Besan laddus, Panchamrit peda, khoya delicacies",FSSAI FoSCoS Portal
VN011,TS005,Shri Mata Vaishno Devi Shrine,Shri Mata Vaishno Devi Shrine Board Trikuta Bhawan,Official Trust Accommodations & Dormitories,32.9925,74.9312,"Near Railway Station, Katra",+91-1991-232029,Official SMVDSB Owned & Managed Facility,Non-profit subsidized pricing fixed by Shrine Board,"Direct RFID registration counter, cloakrooms, sanitized locker facilities, round-the-clock hot water",SMVDSB Official Portal & J&K Tourism
VN012,TS005,Shri Mata Vaishno Devi Shrine,Kashmir Dry Fruits & Walnut Cooperative,Local Produce & Dry Fruits,32.9918,74.9328,"Main Bazaar, Katra",+91-1991-234567,J&K Department of Horticulture & FSSAI Registered,10% discount on vacuum packed Mamra almonds & Kashmiri saffron packs,"Pure GI-tagged Kashmir saffron (Kesar), organic paper-shell walnuts, dried figs",J&K Directorate of Horticulture & Spices Board of India
