spot_id,name,state,district,city_town,latitude,longitude,type,official_capacity_daily,opening_hours,entry_fee_inr_indian,entry_fee_inr_foreigner,peak_hours,avg_visit_duration_hrs,nearby_alternative_ids,booking_portal_url,data_source
TS001,Kedarnath Temple,Uttarakhand,Rudraprayag,Kedarnath (Gaurikund-Kedarnath Trek),30.7346,79.0669,Himalayan High-Altitude Pilgrimage / Jyotirlinga,13000,05:00 - 21:00 (May to Nov; closed in winter),0,0,"05:00 - 08:30, 16:30 - 19:30",4.5,"ALT001,ALT002",https://registrationandtouristcare.uk.gov.in,Uttarakhand Tourism Development Board (UTDB) & Shri Badrinath-Kedarnath Temple Committee (BKTC)
TS002,Badrinath Temple,Uttarakhand,Chamoli,Badrinath,30.7433,79.4938,Char Dham Pilgrimage / Himalayan Shrine,16000,04:30 - 21:00 (May to Nov; seasonal winter closure),0,0,"06:00 - 09:00, 17:00 - 20:00",3.0,"ALT003,ALT004",https://registrationandtouristcare.uk.gov.in,Shri Badrinath-Kedarnath Temple Committee (BKTC) & Uttarakhand Police SOP
TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Uttar Pradesh,Varanasi,Varanasi,25.3109,83.0107,Sacred Riverfront & Jyotirlinga Heritage Corridor,120000,"03:00 - 23:00 (Aarti breaks: 11:15-12:20, 19:00-20:15)",0,0,"04:00 - 07:00, 18:00 - 21:30 (Ganga Aarti)",2.5,"ALT005,ALT006",https://shrikashivishwanath.org,Shri Kashi Vishwanath Temple Trust (SKVT) & Varanasi City Police Traffic Division
TS004,Shri Ram Janmabhoomi Mandir,Uttar Pradesh,Ayodhya,Ayodhya,26.7956,82.1943,Major Religious Shrine & Cultural Heritage,150000,06:30 - 22:00 (Afternoon recess 12:00-14:00),0,0,"07:00 - 10:00, 16:30 - 20:00",3.0,"ALT007,ALT008",https://srjbtkshetra.org,Shri Ram Janmabhoomi Teerth Kshetra Trust & Ayodhya District Administration
TS005,Shri Mata Vaishno Devi Shrine,Jammu and Kashmir,Reasi,Katra / Bhawan,33.0308,74.949,Himalayan Cave Shrine / Hill Pilgrimage Trek,50000,05:00 - 22:00 (Continuous yatra registration 24x7 with designated batch halts),0,0,"06:00 - 10:00, 18:00 - 22:00",12.0,"ALT009,ALT010",https://www.maavaishnodevi.org,Shri Mata Vaishno Devi Shrine Board (SMVDSB) & National Green Tribunal (NGT) Directives
TS006,Tirumala Venkateswara Temple,Andhra Pradesh,Tirupati,"Tirumala, Tirupati",13.6833,79.3472,Major Dravidian Vaishnavite Pilgrimage Hub,85000,02:30 - 01:30 (Next day; Suprabhatam to Ekantha Seva),0,0,"06:00 - 11:00, 16:00 - 21:00",6.0,"ALT011,ALT012",https://ttdevasthanams.ap.gov.in,Tirumala Tirupati Devasthanams (TTD) Annual Administrative Report
TS007,Shree Jagannath Temple,Odisha,Puri,Puri,19.8049,85.8179,Char Dham Coastal Pilgrimage & Kalinga Heritage,90000,05:00 - 23:00 (Ritual nitees timing varies),0,0,"06:00 - 09:30, 17:30 - 21:00",3.0,"ALT013,ALT014",https://shreejagannatha.in,Shree Jagannath Temple Administration (SJTA) & Odisha Tourism Dept
TS008,Mahakaleshwar Jyotirlinga Temple,Madhya Pradesh,Ujjain,Ujjain,23.1827,75.7682,Jyotirlinga Shrine / Sacred River Kshipra Corridor,75000,04:00 - 23:00 (Bhasma Aarti 04:00-06:00 requires advance booking),0,0,"04:00 - 06:00 (Bhasma Aarti), 17:00 - 20:30 (Sandhya Aarti)",3.5,"ALT015,ALT016",https://shrimahakaleshwar.com,Shri Mahakaleshwar Temple Management Committee (SMTMC) & Ujjain Smart City
TS009,Golden Temple (Sri Harmandir Sahib),Punjab,Amritsar,Amritsar,31.62,74.8765,Spiritual Heritage Sanctuary & Community Kitchen (Langar),100000,03:00 - 23:00 (Parkash to Sukhasan; Sarovar open 24x7),0,0,"04:00 - 07:00, 18:00 - 21:00",3.0,"ALT017,ALT018",https://sgpc.net,Shiromani Gurdwara Parbandhak Committee (SGPC) & Punjab Tourism
TS010,Meenakshi Sundareswarar Temple,Tamil Nadu,Madurai,Madurai,9.9195,78.1193,Ancient Dravidian Architectural Monument & Pilgrimage,45000,"05:00 - 12:30, 16:00 - 22:00",0,0,"06:30 - 09:30, 17:30 - 20:30",2.5,"ALT019,ALT020",https://hrce.tn.gov.in,"Hindu Religious and Charitable Endowments (HR&CE) Dept, Tamil Nadu"
