alt_id,main_spot_id,main_spot_name,alternative_spot_name,alternative_type,latitude,longitude,distance_km_from_main,travel_time_mins,crowd_comparison_percentage,why_visit_key_attraction,best_time_to_visit,road_connectivity_status,data_source
ALT001,TS001,Kedarnath Temple,Madhyamaheshwar Temple (Second Kedar),Pristine High-Altitude Alpine Shrine & Trek,30.638,79.2198,42.0,360,5% of Kedarnath volume,"Serene spiritual atmosphere, untouched Bugyal (alpine meadow) views of Chaukhamba peaks, zero queue time","May - June, September - October",Motorable road till Ransi village + 16 km scenic mountain trek path,Uttarakhand Forest Dept & UTDB Panch Kedar Circuit
ALT002,TS001,Kedarnath Temple,Triyuginarayan Temple,Ancient Mythological Himalayan Stone Temple,30.5983,78.9839,25.0,90,12% of Kedarnath volume,Site of divine Shiva-Parvati wedding with perpetual sacred flame (Akhand Dhuni); peaceful darshan without long queues,"April - June, September - November",All-weather motorable road connected from Sonprayag,Rudraprayag District Tourism Office
ALT003,TS002,Badrinath Temple,Bhavishya Badri & Subhain Village,Ancient Forest Shrine (Panch Badri Circuit),30.5367,79.6102,38.0,150,4% of Badrinath volume,Surrounded by dense deodar and cedar forests near Tapovan with tranquil meditative energy and natural hot springs,"May - June, September - October",Motorable till Saldhar on Joshimath-Malari highway + 3 km easy forest trek,UTDB Panch Badri Guidebook & Chamoli District Administration
ALT004,TS002,Badrinath Temple,"Mana Village, Vyas Gufa & Vasudhara Falls",Cultural Heritage Border Village & Himalayan Waterfall,30.7712,79.4958,4.5,25,30% of main temple queue time,"First Indian Village on Indo-Tibetan border, mythical Saraswati River origin at Bhim Pul, magnificent 400ft Vasudhara cascade",May - October (daylight hours),Paved NH-07 extension to Mana + 5 km stone-paved trek to Vasudhara,UTDB Heritage Cell & Border Roads Organisation (BRO)
ALT005,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,"Markandey Mahadev Dham, Kaithi",Ancient River Confluence Jyotirlinga Equivalent,25.4851,83.1812,28.0,55,10% of Kashi Vishwanath footfall,Sacred confluence of Ganga and Gomti rivers; peaceful Vedic darshan associated with Rishi Markandeya; riverfront boat rides,October - March (Early mornings),Excellent 4-lane NH-31 Varanasi-Ghazipur highway connectivity,Varanasi District Tourism Promotion Council (DTPC)
ALT006,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Chunar Fort & Ganga Cliff Viewpoint,Historic Riverfront Citadel & Sunset Vantage,25.1232,82.8752,35.0,65,8% of Dashashwamedh Ghat crowd,"500-year-old stone fort perched on rocky cliff overlooking the Ganges, Babur-Sher Shah Suri history, quiet sunsets",October - March (15:00 - 18:00),Motorable State Highway SH-74 from Varanasi via Mirzapur road,ASI Varanasi Sub-Circle & UP Tourism
ALT007,TS004,Shri Ram Janmabhoomi Mandir,Surajkund Heritage Sarovar & Sun Temple,Ancient Stepwell Sarovar & Sun Sanctuary,26.7725,82.1645,6.5,20,7% of Ram Janmabhoomi crowd,Ancient Vedic Kund built by Suryavanshi kings; beautifully restored ghats with light and sound water projection; peaceful meditation,October - March (Evening laser show 18:30),Paved city road with ample parking area,Ayodhya Development Authority (ADA) Heritage Project
ALT008,TS004,Shri Ram Janmabhoomi Mandir,Nandigram (Bharat Kund),Spiritual Heritage Lake & Bharat Temple,26.6542,82.1384,18.0,35,5% of main town footfall,Site where Lord Bharat ruled Ayodhya keeping Rama's Paduka for 14 years; tranquil holy tank shaded by ancient banyan trees,October - April (Morning hours),All-weather motorable road off Ayodhya-Prayagraj highway,UP Tourism Ayodhya Circuit Masterplan
ALT009,TS005,Shri Mata Vaishno Devi Shrine,Shiv Khori Cave Shrine,Natural Stalagmite Cave Sanctuary,33.1594,74.5244,68.0,130,15% of Vaishno Devi volume,150-meter long limestone cave with naturally formed 4-foot Shiva Lingam; thrilling underground spelunking feel without massive bottlenecks,September - April,Scenic motorable road from Katra to Ransoo base + 3 km trek,Shiv Khori Shrine Board (SKSB) & Reasi District Administration
ALT010,TS005,Shri Mata Vaishno Devi Shrine,Deva Mayi Mandir & Dera Baba Banda,Historic Riverfront Shrine & Sikh Heritage Gurdwara,32.9912,74.8872,14.0,30,6% of Katra track crowd,Second resting abode of Vaishno Devi before reaching Trikuta hills; historical 300-year-old gurdwara built by Baba Banda Singh Bahadur on Chenab bank,Year-round,Well-paved link road from Katra,J&K Tourism Development Corporation (JKTDC)
