timestamp,hour,day_of_week,is_weekend,person_count,occupancy_pct,capacity
2026-08-20 22:47:18,22,3,0,20,10.0,200
2026-08-20 23:47:18,23,3,0,8,4.0,200
2026-08-21 00:47:18,0,4,0,1,0.5,200
2026-08-21 01:47:18,1,4,0,1,0.5,200
2026-08-21 02:47:18,2,4,0,0,0.0,200
2026-08-21 03:47:18,3,4,0,0,0.0,200
2026-08-21 04:47:18,4,4,0,0,0.0,200
2026-08-21 05:47:18,5,4,0,2,1.0,200
2026-08-21 06:47:18,6,4,0,5,2.5,200
2026-08-21 07:47:18,7,4,0,8,4.0,200
2026-08-21 08:47:18,8,4,0,14,7.0,200
2026-08-21 09:47:18,9,4,0,35,17.5,200
2026-08-21 10:47:18,10,4,0,36,18.0,200
2026-08-21 11:47:18,11,4,0,42,21.0,200
2026-08-21 12:47:18,12,4,0,28,14.0,200
2026-08-21 13:47:18,13,4,0,17,8.5,200
2026-08-21 14:47:18,14,4,0,14,7.0,200
2026-08-21 15:47:18,15,4,0,8,4.0,200
2026-08-21 16:47:18,16,4,0,9,4.5,200
2026-08-21 17:47:18,17,4,0,4,2.0,200
2026-08-21 18:47:18,18,4,0,38,19.0,200
2026-08-21 19:47:18,19,4,0,42,21.0,200
2026-08-21 20:47:18,20,4,0,34,17.0,200
2026-08-21 21:47:18,21,4,0,30,15.0,200
2026-08-21 22:47:18,22,4,0,14,7.0,200
2026-08-21 23:47:18,23,4,0,6,3.0,200
2026-08-22 00:47:18,0,5,1,2,1.0,200
2026-08-22 01:47:18,1,5,1,1,0.5,200
2026-08-22 02:47:18,2,5,1,1,0.5,200
2026-08-22 03:47:18,3,5,1,1,0.5,200
2026-08-22 04:47:18,4,5,1,1,0.5,200
2026-08-22 05:47:18,5,5,1,2,1.0,200
2026-08-22 06:47:18,6,5,1,7,3.5,200
2026-08-22 07:47:18,7,5,1,13,6.5,200
2026-08-22 08:47:18,8,5,1,19,9.5,200
2026-08-22 09:47:18,9,5,1,33,16.5,200
2026-08-22 10:47:18,10,5,1,53,26.5,200
2026-08-22 11:47:18,11,5,1,44,22.0,200
2026-08-22 12:47:18,12,5,1,23,11.5,200
2026-08-22 13:47:18,13,5,1,16,8.0,200
2026-08-22 14:47:18,14,5,1,23,11.5,200
2026-08-22 15:47:18,15,5,1,17,8.5,200
2026-08-22 16:47:18,16,5,1,13,6.5,200
2026-08-22 17:47:18,17,5,1,16,8.0,200
2026-08-22 18:47:18,18,5,1,64,32.0,200
2026-08-22 19:47:18,19,5,1,68,34.0,200
2026-08-22 20:47:18,20,5,1,50,25.0,200
2026-08-22 21:47:18,21,5,1,43,21.5,200
2026-08-22 22:47:18,22,5,1,19,9.5,200
2026-08-22 23:47:18,23,5,1,10,5.0,200
2026-08-23 00:47:18,0,6,1,2,1.0,200
2026-08-23 01:47:18,1,6,1,1,0.5,200
2026-08-23 02:47:18,2,6,1,1,0.5,200
2026-08-23 03:47:18,3,6,1,1,0.5,200
2026-08-23 04:47:18,4,6,1,1,0.5,200
2026-08-23 05:47:18,5,6,1,2,1.0,200
2026-08-23 06:47:18,6,6,1,9,4.5,200
2026-08-23 07:47:18,7,6,1,12,6.0,200
2026-08-23 08:47:18,8,6,1,21,10.5,200
2026-08-23 09:47:18,9,6,1,46,23.0,200
2026-08-23 10:47:18,10,6,1,59,29.5,200
2026-08-23 11:47:18,11,6,1,40,20.0,200
2026-08-23 12:47:18,12,6,1,29,14.5,200
2026-08-23 13:47:18,13,6,1,22,11.0,200
2026-08-23 14:47:18,14,6,1,23,11.5,200
2026-08-23 15:47:18,15,6,1,17,8.5,200
2026-08-23 16:47:18,16,6,1,11,5.5,200
2026-08-23 17:47:18,17,6,1,16,8.0,200
2026-08-23 18:47:18,18,6,1,40,20.0,200
2026-08-23 19:47:18,19,6,1,54,27.0,200
2026-08-23 20:47:18,20,6,1,81,40.5,200
2026-08-23 21:47:18,21,6,1,31,15.5,200
2026-08-23 22:47:18,22,6,1,23,11.5,200
2026-08-23 23:47:18,23,6,1,8,4.0,200
2026-08-24 00:47:18,0,0,0,1,0.5,200
2026-08-24 01:47:18,1,0,0,1,0.5,200
2026-08-24 02:47:18,2,0,0,0,0.0,200
2026-08-24 03:47:18,3,0,0,0,0.0,200
2026-08-24 04:47:18,4,0,0,1,0.5,200
2026-08-24 05:47:18,5,0,0,2,1.0,200
2026-08-24 06:47:18,6,0,0,5,2.5,200
2026-08-24 07:47:18,7,0,0,12,6.0,200
2026-08-24 08:47:18,8,0,0,14,7.0,200
2026-08-24 09:47:18,9,0,0,35,17.5,200
2026-08-24 10:47:18,10,0,0,40,20.0,200
2026-08-24 11:47:18,11,0,0,38,19.0,200
2026-08-24 12:47:18,12,0,0,22,11.0,200
2026-08-24 13:47:18,13,0,0,25,12.5,200
2026-08-24 14:47:18,14,0,0,18,9.0,200
2026-08-24 15:47:18,15,0,0,12,6.0,200
2026-08-24 16:47:18,16,0,0,9,4.5,200
2026-08-24 17:47:18,17,0,0,14,7.0,200
2026-08-24 18:47:18,18,0,0,38,19.0,200
