crowd_record_id,spot_id,spot_name,historical_crowd_level,peak_season_months,peak_dates_and_festivals,avg_queue_time_normal_mins,avg_queue_time_peak_mins,queue_management_system,fast_track_available,fast_track_details_cost,weather_context_and_seasonality,surge_trigger_factors,data_source
CR001,TS001,Kedarnath Temple,Critical Peak during Yatra Season,"May to June, September to October","Akshaya Tritiya (Opening), Maha Shivratri, Shravan Mondays, Bhai Dooj (Closing)",180,540,Token-based physical queue sheds with barricaded zig-zag corrals & daily registration cap,Yes,"Sugam / VIP Darshan pass via BKTC e-portal (INR 2,500 - 5,000 when slots open)",Sub-zero temperatures with high blizzard risk in early May & late Oct; active monsoon cloudburst risk July-August,"Consecutive government holidays, opening week rush, auspicious astrological alignments",Uttarakhand State Disaster Management Authority (USDMA) Yatra Reports & BKTC
CR002,TS002,Badrinath Temple,Severe Surge,"May to June, September to October","Opening Day, Janmashtami, Badri Kedar Festival, Dussehra to Closing Tithi",120,360,"Brahmakapalam holding lines, digital QR token verification, SDRF marshals",Yes,"Special Puja booking with priority entry slot via BKTC portal (INR 2,100 - 4,500)","Severe cold, NH-07 Joshimath-Badrinath highway landslide blockages during July-August monsoons","Char Dham combined convoy arrivals, public holiday long weekends",BKTC Official Annual Influx Statistics & District Administration Chamoli
CR003,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Severe Surge,"July to August (Shravan Maas), October to March","Maha Shivratri, Dev Deepawali, Rangbhari Ekadashi, Shravan Mondays, Makar Sankranti",90,420,"Vishwanath Corridor multi-lane holding plazas, automated baggage X-ray, turnstile scanners",Yes,Sugam Darshan token available online/kiosks (INR 300 - 600 regular; INR 750 Shravan Mondays),Intense summer heat (42-46C in May-June); Ganga flood level submergence of ghats in Aug-Sep,"Dev Deepawali full moon, Shravan Kanwar Yatra pilgrim marches, eclipse bathing snans",Shri Kashi Vishwanath Special Area Development Board & Varanasi Police Commission
CR004,TS004,Shri Ram Janmabhoomi Mandir,Critical Peak,"October to March, April (Ram Navami)","Ram Navami, Deepotsav (Diwali Eve), Pran Pratishtha Anniversary, Makar Sankranti, Kartik Purnima",90,360,"Janmabhoomi Path shaded pilgrim facilitation center (PFC), RFID pass scans, multiple holding bays",Yes,"Sugam Darshan & Aarti passes issued via trust portal (Free slot reservation, quota limited)",Dense fog and cold waves in Dec-Jan; severe dry heat in May-June,"Special trains, national festival breaks, major religious discourses and Deepotsav celebrations",Shri Ram Janmabhoomi Teerth Kshetra & Ayodhya District Police Crowd Control Wing
CR005,TS005,Shri Mata Vaishno Devi Shrine,Critical Peak during Navratris & New Year,"March to June, September to October (Navratri seasons), late December","Chaitra Navratri, Sharad Navratri, New Year's Eve/Day, Summer school breaks",120,480,RFID-based Yatra access cards mandatory at Ban Ganga; real-time track monitoring & Bhawan holding gates,Yes,"Online priority Darshan with Battery Car / Helicopter booking & Shraddha Suman Sewa (INR 2,000+)",Winter snowfall at Bhawan (Dec-Feb); monsoon landslides on Tarakote / traditional track (Jul-Aug),"New Year midnight rush, weekend holiday clusters during Navratris",SMVDSB Operations Review & NGT Carrying Capacity Directives
CR006,TS006,Tirumala Venkateswara Temple,Critical Peak Continuous,"May to July (Vacation), September to October (Brahmotsavam), December to January","Salakatla Brahmotsavam, Vaikunta Ekadasi, Rathasapthami, Ugadi, New Year",300,1080,"Vaikuntam Queue Complex (I & II) with 60+ air-conditioned holding compartments, tokenised SSD/SED lines",Yes,"Special Entry Darshan (SED) pre-booked slots (INR 300); Virtual Seva quota (INR 500 - 1,000)","High humidity, tropical monsoon rains in Oct-Nov causing ghat road boulders","Vaikunta Dwara Opening (10-day window), Brahmotsavam Garuda Seva day (500k+ congregate)",TTD Statistical Bulletin & Tirupati District Police Traffic Blueprint
CR007,TS007,Shree Jagannath Temple,Severe Surge to Critical,"June to July (Rath Yatra), October to November (Kartik month)","Ratha Yatra, Snana Purnima, Chandan Yatra, Kartika Purnima, Makar Sankranti",90,420,"Bada Danda barricades, Singhadwara one-way directional queue corridors, LED display tokens",No,General queuing through Lion Gate; ticketed Paramanik darshan suspended during high surge seasons,"Coastal tropical heat and cyclonic rain depressions in Bay of Bengal (May, Oct-Nov)","Rath Yatra chariot pulling days, Kartik Habisa brata elderly pilgrim congregation",SJTA Annual Crowd Management Report & Odisha State Disaster Management Authority
CR008,TS008,Mahakaleshwar Jyotirlinga Temple,Severe Surge,"July to August (Shravan month), February to March","Maha Shivratri, Shravan Somwar Sawari (Processions), Nagchandreshwar (Nag Panchami), New Year",75,360,"Mahakal Lok corridor holding arenas, automated barcode turnstiles, CCTV crowd density AI analytics",Yes,Sheegra Darshan protocol tickets (INR 250 per person); Bhasma Aarti reservation (INR 200),Intense central India summer heat (40-44C); pleasant winters from Nov-Feb,"Nagchandreshwar temple opening (only 24 hours once a year on Nag Panchami), Shravan Sawari Mondays",Shri Mahakaleshwar Temple Management Committee Reports & Ujjain Police Administration
CR009,TS009,Golden Temple (Sri Harmandir Sahib),High to Severe,October to March,"Baisakhi, Bandi Chhor Divas (Diwali), Guru Nanak Gurpurab, Guru Gobind Singh Gurpurab, New Year",60,240,"Parikrama brass railing queue lines, volunteer Task Force sevadar guidance, separate elderly line",No,Egalitarian queue access for all; special assistance lanes for wheelchair / disabled pilgrims,Extreme winter cold & fog in Dec-Jan; severe dry summer in May-June,"Historic Sikh commemorative dates, national long holiday weekends",SGPC Information Department & Amritsar District Heritage Zone Authority
CR010,TS010,Meenakshi Sundareswarar Temple,Moderate to High,"April to May (Chithirai Festival), December to January (Margazhi)","Chithirai Thiruvizha (Celestial Wedding), Navratri Kolu, Panguni Uthiram, Pongal",45,180,"East Gopuram electronic queue gates, shaded circumambulation aisles, biometric staff access",Yes,Special Darshan tickets sold inside complex (INR 50 and INR 100 fast-track lanes),Tropical semi-arid climate; high temperature year-round with Northeast monsoon showers in Oct-Dec,"Chithirai car festival procession, Thirukalyanam wedding ceremony day",HR&CE Department Tamil Nadu & Madurai City Police Commissionerate
