safety_record_id,spot_id,spot_name,nearest_hospital_name,hospital_distance_km,hospital_emergency_phone,nearest_police_station,police_contact_number,disaster_mgmt_control_room,emergency_exits_and_evacuation_routes,high_risk_zone_type,risk_mitigation_measures,data_source
SZ001,TS001,Kedarnath Temple,Six-Bedded Emergency Field Hospital Kedarnath & AIIMS Rishikesh Heli-Evac,0.4,+91-1372-252107 / 108,Kedarnath Yatra Police Post & SDRF Basecamp,+91-1372-252100 / 112,"District EOC Rudraprayag: +91-1372-251077, SDRF Control: +91-135-2410192",Designated Mandakini concrete embankment wide corridor; Kedarnath Helipad evacuation apron (0.8 km south); safe assembly zone at Swargarohini meadow,"High-Altitude Hypoxia (3,583m), Glacial Lake Outburst / Flash Flood Risk & Winter Snow Avalanches",Mandatory health screening at Guptkashi/Sonprayag; hyperbaric oxygen chambers at base; SDRF flood warning sirens along Mandakini river channel; UAV crowd density monitoring,Uttarakhand State Disaster Management Authority (USDMA) SOP & NDMA Char Dham Guidelines
SZ002,TS002,Badrinath Temple,Community Health Centre (CHC) Badrinath & District Hospital Gopeshwar,0.6,+91-1372-222108 / 108,Badrinath Thana & SDRF Camp Badrinath,+91-1372-222100 / 112,"District EOC Chamoli: +91-1372-251437, State EOC Dehradun: 1070",Alaknanda west bank emergency staircase; Badrinath Army Helipad (1.2 km); Badrinath Bus Stand broad transit evacuation square,Landslide Vulnerable Chokepoints (Joshimath-Badrinath NH-07) & Severe Hypothermia,Continuous Border Roads Organisation (BRO) earthmover deployment at landslide bottlenecks; thermal emergency blankets; automated weather station alerts,District Disaster Management Authority (DDMA) Chamoli & USDMA
SZ003,TS003,Kashi Vishwanath Temple & Dashashwamedh Ghat,Sir Sunderlal Hospital (IMS-BHU) & Divisional Hospital Kabir Chaura,3.8,+91-542-2369299 / 108,Dashashwamedh Police Station & Kashi Vishwanath Special Security Post,+91-542-2452222 / 112,Varanasi Integrated Command and Control Centre (ICCC): +91-542-2777000 / 1077,Corridor River Gate evacuation route into wide river barge fleet; 4 dedicated emergency gates opening into Godowlia & Chowk arterial roads,Stampede Bottleneck Risk in Narrow Alleyways & High Heatstroke Stress during Summer,One-way pedestrian segregation; mist cooling fans across corridor; NDRF rescue motorboats deployed on Ganga during Ganga Aarti; automated AI facial & crowd count surveillance,Varanasi Police Commissionerate Crowd SOP & NDMA Religious Congregation Guidelines
SZ004,TS004,Shri Ram Janmabhoomi Mandir,Rajarshi Dashrath Autonomous State Medical College & Sri Ram Hospital Ayodhya,1.8,+91-5278-222222 / 108,Ram Janmabhoomi Police Thana & Ayodhya Kotwali,+91-5278-232012 / 112,Ayodhya Smart City Command Center & District EOC: +91-5278-224107,Multi-lane 75-meter wide Janmabhoomi Path; dedicated emergency ambulance corridor connecting directly to Ram Path; designated helipad at Saket Degree College,Mass Crowd Congestion Surge & Extreme Weather Heat Stress,"Pilgrim Facilitation Centre (PFC) air-conditioned holding halls for 25,000 devotees; water-proof canopies; dedicated medical first aid booths every 100 meters; rapid response ATS/PAC squads",Ayodhya District Administration & UP State Disaster Management Authority (UPSDMA)
SZ005,TS005,Shri Mata Vaishno Devi Shrine,"Shri Mata Vaishno Devi Narayana Super Speciality Hospital, Kakryal & CHC Katra",6.5,+91-1991-285638 / 108,Police Station Katra & Police Post Bhawan,+91-1991-232010 / 112,SMVDSB Central Operations Control Room: +91-1991-232777 / 232029,Tarakote Marg wide alternative evacuation road for battery vehicles/ambulances; Bhawan to Sanjichhat emergency helipad; dedicated one-way Manokamana exit passage,Slope Instability / Shooting Stones (Pankhi-Bhawan stretch) & Stampede Bottlenecks at Bhawan Exit,Overhead steel rockfall protection fences installed across 10 km cliff stretch; RFID-linked automated turnstile gates cutting off upward flow if Bhawan capacity crosses threshold,SMVDSB Disaster Preparedness Manual & NGT Committee Safety Review
SZ006,TS006,Tirumala Venkateswara Temple,Sri Venkateswara Institute of Medical Sciences (SVIMS) & TTD Ashwin Hospital Tirumala,0.8,+91-877-2277777 / +91-877-2287777,Tirumala One Town Police Station & TTD Vigilance and Security Wing,+91-877-2263433 / 112,"TTD Central Vigilance & Command Control Centre: +91-877-2263888, District EOC: 1077",Vaikuntam Queue Complex dual high-capacity emergency bypass gates into South Mada Street; First Ghat Road dedicated emergency downward evacuation lane,High-Volume Crowd Trapping in Enclosed Queue Corridors & Forest Fire / Ghat Road Landslips,"Automated fire sprinkler systems & industrial HVAC oxygenation in queue sheds; continuous distribution of warm milk, water, and emergency medical kits by Srivari Sevaks; 3000+ CCTV camera monitoring",Tirumala Tirupati Devasthanams (TTD) Security & Vigilance Action Plan
SZ007,TS007,Shree Jagannath Temple,District Headquarters Hospital (DHH) Puri & Infectious Disease Hospital (IDH),1.5,+91-6752-222037 / 108,Singhadwara Police Station & Puri Town Thana,+91-6752-222025 / 112,"Puri District EOC: +91-6752-223237, OSDMA Control Room: 1070","Four cardinal temple gates (Singhadwara, Vyaghradwara, Hastidwara, Ashwadwara); 60-meter wide Grand Road (Bada Danda) emergency clearway",Congestion Surges during Chariot Pulling (Rath Yatra) & Coastal Tropical Cyclonic Surges,Green Corridor ambulance lane barricaded along entire Grand Road; rapid-deploy Odisha Disaster Rapid Action Force (ODRAF) and NDRF batallions; multi-hazard cyclone shelters,Odisha State Disaster Management Authority (OSDMA) & SJTA Safety Manual
SZ008,TS008,Mahakaleshwar Jyotirlinga Temple,Civil Hospital Madhav Nagar & RD Gardi Medical College Hospital Ujjain,2.8,+91-734-2551401 / 108,Mahakal Police Station & Ujjain Police Control Room,+91-734-2525222 / 112,Smart City Ujjain ICCC & District EOC: +91-734-2535234,Mahakal Lok 900-meter expansive plaza evacuation corridor towards Char Dham temple parking; separate emergency exits at Nandi Hall and Kotitirth Kund,Stampede Bottlenecks at Inner Sanctum Stairs (Garbhagriha entry) & Monsoon Kshipra Inundation,Strict prohibition of public entry into Garbhagriha during peak surge; holding zones across Triveni museum plaza; SDRF water rescue teams deployed at Ramghat,District Administration Ujjain & Madhya Pradesh SDMA
SZ009,TS009,Golden Temple (Sri Harmandir Sahib),Sri Guru Ram Das Institute of Medical Sciences & Civil Hospital Amritsar,2.2,+91-183-2870200 / 108,Kotwali Police Station & SGPC Task Force Security HQ,+91-183-2557670 / 112,"Amritsar District EOC: +91-183-2226161, Punjab State EOC: 1070",Four open entrance gates facing four cardinal directions symbolizing universal access; wide Parikrama perimeter into Heritage Plaza promenade,High Density Footfall along Narrow Causeway (Bridge to Sanctum) & Heat Exhaustion,Trained SGPC Sevadar Task Force maintaining regulated 2-line continuous queue movement on bridge; Sarovar safety railing barrier; 24x7 emergency medical dispensary at Parikrama,SGPC Security Wing & Punjab Disaster Management Authority
SZ010,TS010,Meenakshi Sundareswarar Temple,Government Rajaji Hospital Madurai & Meenakshi Mission Hospital,1.8,+91-452-2532535 / 108,Temple Police Station (East Chithirai Street) & Madurai City Crime Branch,+91-452-2346300 / 112,Madurai District Disaster Control Room: +91-452-2530600 / 1077,"Four magnificent multi-tiered Gopurams (North, South, East, West) providing massive 12-meter wide stone egress portals into concentric Chithirai Streets",Heritage Structural Fire Vulnerability & Extreme Summer Dehydration,Complete elimination of open oil lamps inside 1000-pillar hall; smoke detection and automatic high-pressure water mist systems; first aid stalls at all 4 Gopuram entrances,Tamil Nadu Fire and Rescue Services (TNFRS) & HR&CE Safety Audit
