site,frame,timestamp_sec,person_count,capacity,occupancy_pct,status
Test Site,0,0.0,8,200,4.0,NORMAL
Test Site,25,1.0,11,200,5.5,NORMAL
Test Site,50,2.0,8,200,4.0,NORMAL
Test Site,75,3.0,9,200,4.5,NORMAL
Test Site,100,4.0,12,200,6.0,NORMAL
Test Site,125,5.0,10,200,5.0,NORMAL
Test Site,150,6.0,9,200,4.5,NORMAL
Test Site,175,7.0,9,200,4.5,NORMAL
Test Site,200,8.0,10,200,5.0,NORMAL
Test Site,225,9.0,10,200,5.0,NORMAL
Test Site,250,10.0,9,200,4.5,NORMAL
Test Site,275,11.0,9,200,4.5,NORMAL
Test Site,300,12.0,9,200,4.5,NORMAL
Test Site,325,13.0,13,200,6.5,NORMAL
Test Site,350,14.0,10,200,5.0,NORMAL
Test Site,375,15.0,10,200,5.0,NORMAL
Test Site,400,16.0,9,200,4.5,NORMAL
Test Site,425,17.0,11,200,5.5,NORMAL
Test Site,450,18.0,8,200,4.0,NORMAL
Test Site,475,19.0,8,200,4.0,NORMAL
Test Site,500,20.0,7,200,3.5,NORMAL
Test Site,525,21.0,8,200,4.0,NORMAL
Test Site,550,22.0,7,200,3.5,NORMAL
Test Site,575,23.0,8,200,4.0,NORMAL
Test Site,600,24.0,11,200,5.5,NORMAL
Test Site,625,25.0,12,200,6.0,NORMAL
Test Site,650,26.0,11,200,5.5,NORMAL
Test Site,675,27.0,8,200,4.0,NORMAL
Test Site,700,28.0,9,200,4.5,NORMAL
Test Site,725,29.0,8,200,4.0,NORMAL
Test Site,750,30.0,7,200,3.5,NORMAL
Test Site,775,31.0,7,200,3.5,NORMAL
Test Site,800,32.0,8,200,4.0,NORMAL
Test Site,825,33.0,8,200,4.0,NORMAL
Test Site,850,34.0,9,200,4.5,NORMAL
Test Site,875,35.0,11,200,5.5,NORMAL
Test Site,900,36.0,7,200,3.5,NORMAL
Test Site,925,37.0,11,200,5.5,NORMAL
Test Site,950,38.0,10,200,5.0,NORMAL
Test Site,975,39.0,10,200,5.0,NORMAL
Test Site,1000,40.0,11,200,5.5,NORMAL
Test Site,1025,41.0,8,200,4.0,NORMAL
Test Site,1050,42.0,8,200,4.0,NORMAL
Test Site,1075,43.0,8,200,4.0,NORMAL
Test Site,1100,44.0,9,200,4.5,NORMAL
Test Site,1125,45.0,8,200,4.0,NORMAL
Test Site,1150,46.0,9,200,4.5,NORMAL
Test Site,1175,47.0,8,200,4.0,NORMAL
Test Site,1200,48.0,7,200,3.5,NORMAL
Test Site,1225,49.0,9,200,4.5,NORMAL
Test Site,1250,50.0,9,200,4.5,NORMAL
Test Site,1275,51.0,11,200,5.5,NORMAL
Test Site,1300,52.0,8,200,4.0,NORMAL
Test Site,1325,53.0,8,200,4.0,NORMAL
Test Site,1350,54.0,10,200,5.0,NORMAL
Test Site,1375,55.0,8,200,4.0,NORMAL
Test Site,1400,56.0,10,200,5.0,NORMAL
Test Site,1425,57.0,10,200,5.0,NORMAL
Test Site,1450,58.0,10,200,5.0,NORMAL
Test Site,1475,59.0,8,200,4.0,NORMAL
Test Site,1500,60.0,9,200,4.5,NORMAL
Test Site,1525,61.0,8,200,4.0,NORMAL
Test Site,1550,62.0,10,200,5.0,NORMAL
Test Site,1575,63.0,8,200,4.0,NORMAL
Test Site,1600,64.0,12,200,6.0,NORMAL
Test Site,1625,65.0,9,200,4.5,NORMAL
Test Site,1650,66.0,11,200,5.5,NORMAL
Test Site,1675,67.0,9,200,4.5,NORMAL
Test Site,1700,68.0,8,200,4.0,NORMAL
Test Site,1725,69.0,7,200,3.5,NORMAL
Test Site,1750,70.0,10,200,5.0,NORMAL
Test Site,1775,71.0,8,200,4.0,NORMAL
Test Site,1800,72.0,6,200,3.0,NORMAL
Test Site,1825,73.0,8,200,4.0,NORMAL
Test Site,1850,74.0,0,200,0.0,NORMAL
Test Site,1875,75.0,3,200,1.5,NORMAL
Test Site,1900,76.0,7,200,3.5,NORMAL
Test Site,1925,77.0,7,200,3.5,NORMAL
Test Site,1950,78.0,8,200,4.0,NORMAL
Test Site,1975,79.0,8,200,4.0,NORMAL
Test Site,2000,80.0,9,200,4.5,NORMAL
Test Site,2025,81.0,9,200,4.5,NORMAL
